focus,A,actual_dist,score,Pred_dist
600,3.2,800,172162042,799.995605
600,3.2,900,107248826,899.9920985
600,3.5,300,326996910,300.0109375
600,3.5,400,267213682,400.0068504
600,3.5,500,483669482,500.0037329
600,3.5,600,2431328566,600.0004818
600,3.5,700,447000014,699.9988592
600,3.5,800,221377350,799.995605
600,3.5,900,125858912,899.9920985
600,4,300,357770326,300.0109375
600,4,400,340578706,400.0068504
600,4,500,575197098,500.0037329
600,4,600,2729152470,600.0004818
600,4,700,463632790,699.9988592
600,4,800,281003886,799.995605
600,4,900,176841828,899.9920985
600,4.5,300,428838128,300.0109375
600,4.5,400,507388476,400.0068504
600,4.5,500,934336222,500.0037329
600,4.5,600,4677561582,600.0004818
600,4.5,700,1195587634,699.9988592
600,4.5,800,579318632,799.995605
600,4.5,900,390320882,899.9920985
600,5,300,388582980,300.0109375
600,5,400,530895704,400.0068504
600,5,500,1356448122,500.0037329
600,5,600,1402513522,600.0004818
600,5,700,943197538,699.9988592
600,5,800,564948316,799.995605
600,5,900,432039062,899.9920985
600,5.6,300,479002144,300.0109375
600,5.6,400,486572240,400.0068504
600,5.6,500,894459944,500.0037329
600,5.6,600,1912539904,600.0004818
600,5.6,700,704453508,699.9988592
600,5.6,800,459493870,799.995605
600,5.6,900,315648260,899.9920985
600,6.3,300,444925810,300.0109375
600,6.3,400,517820340,400.0068504
600,6.3,500,937833182,500.0037329
600,6.3,600,1853475114,600.0004818
600,6.3,700,649151562,699.9988592
600,6.3,800,473937126,799.995605
600,6.3,900,298004380,899.9920985
600,7.1,300,530200070,300.0109375
600,7.1,400,595258270,400.0068504
600,7.1,500,1093838306,500.0037329
600,7.1,600,1646652204,600.0004818
600,7.1,700,795148960,699.9988592
600,7.1,800,560742876,799.995605
600,7.1,900,385216040,899.9920985
600,8,300,710525428,300.0109375
600,8,400,755179476,400.0068504
600,8,500,1302143012,500.0037329
600,8,600,1676502196,600.0004818
600,8,700,965110326,699.9988592
600,8,800,637725966,799.995605
600,8,900,473922054,899.9920985
600,9,300,604203742,300.0109375
600,9,400,682032278,400.0068504
600,9,500,1344196798,500.0037329
600,9,600,1487434108,600.0004818
600,9,700,803511294,699.9988592
600,9,800,726105256,799.995605
600,9,900,446845954,899.9920985
600,11,300,944120404,300.0109375
600,11,400,992486138,400.0068504
600,11,500,981476186,500.0037329
600,11,600,1122313166,600.0004818
600,11,700,1154846838,699.9988592
600,11,800,855652264,799.995605
600,11,900,624617006,899.9920985
600,13,300,952824538,300.0109375
600,13,400,880446530,400.0068504
600,13,500,1041507612,500.0037329
600,13,600,1204007550,600.0004818
600,13,700,1353423928,699.9988592
600,13,800,1040478868,799.995605
600,13,900,773818230,899.9920985
600,14,300,1101822198,300.0109375
600,14,400,1121162496,400.0068504
600,14,500,1053974776,500.0037329
600,14,600,1587937924,600.0004818
600,14,700,1752499148,699.9988592
600,14,800,1431079284,799.995605
600,14,900,841069182,899.9920985
600,16,300,1088546918,300.0109375
600,16,400,919088572,400.0068504
600,16,500,1257991072,500.0037329
600,16,600,1319993138,600.0004818
600,16,700,1174463226,699.9988592
600,16,800,1218395968,799.995605
600,16,900,1109391526,899.9920985
800,1.8,500,156259660,500.0037329
800,1.8,600,166821466,600.0004818
800,1.8,700,390858276,699.9988592
800,1.8,800,752696060,799.995605
800,1.8,900,260958752,899.9920985
800,1.8,1000,120029426,999.9883847
800,1.8,1100,98887834,1099.983534
800,2,500,173144660,500.0037329
800,2,600,317257626,600.0004818
800,2,700,1080169622,699.9988592
800,2,800,5968481414,799.995605
800,2,900,864778066,899.9920985
800,2,1000,285005210,999.9883847
800,2,1100,106726218,1099.983534
800,2.2,500,161666432,500.0037329
800,2.2,600,210939824,600.0004818
800,2.2,700,405441870,699.9988592
800,2.2,800,3283302034,799.995605
800,2.2,900,709547642,899.9920985
800,2.2,1000,266320650,999.9883847
800,2.2,1100,92439938,1099.983534
800,2.5,500,176666418,500.0037329
800,2.5,600,247623996,600.0004818
800,2.5,700,447576830,699.9988592
800,2.5,800,2539664406,799.995605
800,2.5,900,618331458,899.9920985
800,2.5,1000,301046518,999.9883847
800,2.5,1100,128420770,1099.983534
800,2.8,500,181101460,500.0037329
800,2.8,600,236032118,600.0004818
800,2.8,700,429195112,699.9988592
800,2.8,800,1478284272,799.995605
800,2.8,900,1579970118,899.9920985
800,2.8,1000,470430820,999.9883847
800,2.8,1100,253008182,1099.983534
800,3.2,500,295768310,500.0037329
800,3.2,600,188453796,600.0004818
800,3.2,700,512316174,699.9988592
800,3.2,800,2216236212,799.995605
800,3.2,900,360815834,899.9920985
800,3.2,1000,160709488,999.9883847
800,3.2,1100,85887526,1099.983534
800,3.5,500,262293414,500.0037329
800,3.5,600,347599134,600.0004818
800,3.5,700,797222410,699.9988592
800,3.5,800,4492830948,799.995605
800,3.5,900,1300975896,899.9920985
